CustomerID,Recency,Frequency,Monetary,Segment
12346,,12,77556.46,Loyal
12347,,8,4921.529999999996,At Risk
12348,,5,2019.4,At Risk
12349,,4,4428.690000000002,At Risk
12350,,1,334.40000000000003,At Risk
12351,,1,300.93,At Risk
12352,,10,2849.8400000000015,Loyal
12353,,2,406.75999999999993,At Risk
12354,,1,1079.3999999999999,At Risk
12355,,2,947.6099999999999,At Risk
12356,,6,6371.729999999995,At Risk
12357,,3,18287.659999999993,At Risk
12358,,5,3887.070000000003,At Risk
12359,,10,8873.389999999994,Loyal
12360,,8,4252.89,At Risk
12361,,4,511.24999999999994,At Risk
12362,,11,5356.230000000002,Loyal
12363,,2,552.0,At Risk
12364,,4,1313.1000000000001,At Risk
12365,,2,641.3799999999999,At Risk
12366,,1,500.24,At Risk
12367,,1,168.9,At Risk
12368,,1,917.6999999999999,At Risk
12369,,3,1791.15,At Risk
12370,,7,4316.559999999998,At Risk
12371,,5,4067.3799999999983,At Risk
12372,,3,1298.04,At Risk
12373,,3,1127.65,At Risk
12374,,4,2989.2200000000003,At Risk
12375,,2,457.50000000000006,At Risk
12376,,2,503.15000000000003,At Risk
12377,,4,3426.319999999998,At Risk
12378,,2,5416.32,At Risk
12379,,4,1620.22,At Risk
12380,,11,9676.300000000001,Loyal
12381,,5,1845.3100000000004,At Risk
12383,,5,1850.5599999999997,At Risk
12384,,2,585.27,At Risk
12385,,1,1938.3999999999999,At Risk
12386,,2,401.90000000000003,At Risk
12387,,1,143.94,At Risk
12388,,8,3901.110000000001,At Risk
12389,,3,1433.33,At Risk
12390,,1,549.8399999999999,At Risk
12391,,6,2724.839999999994,At Risk
12392,,1,234.75,At Risk
12393,,6,2399.4499999999994,At Risk
12394,,2,1272.48,At Risk
12395,,15,4721.169999999996,Loyal
12396,,1,931.4300000000006,At Risk
12397,,2,2409.9000000000005,At Risk
12398,,1,1635.6599999999999,At Risk
12399,,7,1962.3000000000013,At Risk
12400,,1,205.25,At Risk
12401,,1,84.3,At Risk
12402,,6,1256.9000000000003,At Risk
12403,,2,1019.36,At Risk
12404,,1,63.24,At Risk
12405,,1,1710.3900000000006,At Risk
12406,,5,6390.359999999998,At Risk
12407,,5,1708.1199999999997,At Risk
12408,,8,4340.770000000002,At Risk
12409,,7,23419.289999999997,At Risk
12410,,3,1013.7099999999999,At Risk
12411,,1,346.9,At Risk
12412,,6,2596.9300000000017,At Risk
12413,,4,999.4499999999998,At Risk
12414,,6,952.4100000000001,At Risk
12415,,28,144458.36999999968,Loyal
12416,,1,202.55999999999997,At Risk
12417,,20,6797.409999999998,Loyal
12418,,4,2021.2000000000003,At Risk
12419,,2,503.00999999999993,At Risk
12420,,1,600.3900000000001,At Risk
12421,,6,1098.6,At Risk
12422,,17,5231.7999999999965,Loyal
12423,,10,2622.3899999999985,Loyal
12424,,4,3340.03,At Risk
12425,,2,1741.4099999999996,At Risk
12426,,2,1345.2100000000005,At Risk
12427,,3,825.8000000000002,At Risk
12428,,9,7956.460000000004,At Risk
12429,,8,6204.409999999997,At Risk
12430,,1,256.4,At Risk
12431,,27,10432.219999999992,Loyal
12432,,5,5059.3200000000015,At Risk
12433,,10,16794.139999999992,Loyal
12434,,3,1103.4299999999998,At Risk
12435,,6,13925.930000000008,At Risk
12436,,1,509.00999999999993,At Risk
12437,,39,12683.400000000005,Loyal
12438,,2,2906.8500000000004,At Risk
12439,,2,1142.8800000000003,At Risk
12440,,2,859.2000000000002,At Risk
12441,,1,173.55,At Risk
12442,,1,172.06,At Risk
12443,,1,485.31000000000006,At Risk
12444,,5,5005.46,At Risk
12445,,2,434.97999999999996,At Risk
12446,,1,1002.3099999999998,At Risk
12447,,1,476.49,At Risk
12448,,1,449.4500000000001,At Risk
12449,,6,4835.889999999999,At Risk
12450,,5,688.1999999999999,At Risk
12451,,8,12669.87999999999,At Risk
12452,,2,430.57000000000005,At Risk
12453,,1,707.0899999999999,At Risk
12454,,5,16679.78,At Risk
12455,,10,5879.950000000002,Loyal
12456,,3,3181.039999999998,At Risk
12457,,8,2995.91,At Risk
12458,,4,1777.4900000000002,At Risk
12459,,1,454.3599999999999,At Risk
12460,,1,326.65,At Risk
12461,,2,826.8800000000001,At Risk
12462,,2,1189.5900000000001,At Risk
12463,,4,1344.7799999999997,At Risk
12464,,8,1212.05,At Risk
12465,,2,742.1900000000002,At Risk
12466,,1,56.73,At Risk
12467,,1,132.79999999999998,At Risk
12468,,5,3670.7400000000007,At Risk
12469,,2,3070.539999999998,At Risk
12470,,1,211.95,At Risk
12471,,79,39918.190000000046,Loyal
12472,,19,16249.290000000014,Loyal
12473,,5,3928.05,At Risk
12474,,31,12372.749999999995,Loyal
12475,,2,1149.64,At Risk
12476,,23,14083.909999999982,Loyal
12477,,9,20276.369999999995,At Risk
12478,,1,680.9900000000002,At Risk
12479,,1,527.2,At Risk
12480,,7,5464.850000000001,At Risk
12481,,15,12185.50999999999,Loyal
12482,,29,23691.399999999983,Loyal
12483,,19,5097.1799999999985,Loyal
12484,,12,6354.100000000001,Loyal
12485,,1,708.1,At Risk
12486,,1,1037.28,At Risk
12487,,1,285.3,At Risk
12488,,3,1298.6599999999999,At Risk
12489,,1,334.93,At Risk
12490,,21,9823.64000000001,Loyal
12491,,1,460.40000000000003,At Risk
12492,,3,715.2100000000002,At Risk
12493,,2,433.74,At Risk
12494,,9,1815.270000000001,At Risk
12495,,1,357.4,At Risk
12496,,2,45.339999999999996,At Risk
12497,,3,6248.499999999999,At Risk
12498,,3,403.69999999999993,At Risk
12499,,1,393.71999999999997,At Risk
12500,,19,5955.210000000001,Loyal
12501,,1,2169.3899999999994,At Risk
12502,,5,3723.87,At Risk
12503,,1,1126.0,At Risk
12504,,4,779.0500000000001,At Risk
12505,,1,955.2,At Risk
12506,,1,73.50000000000003,At Risk
12507,,4,1844.0600000000002,At Risk
12508,,2,397.88000000000005,At Risk
12509,,1,176.5,At Risk
12510,,9,5178.019999999998,At Risk
12511,,1,3084.0200000000004,At Risk
12512,,2,132.18000000000006,At Risk
12513,,1,612.2900000000001,At Risk
12514,,2,1597.7600000000002,At Risk
12515,,1,383.7,At Risk
12516,,4,2648.62,At Risk
12517,,5,2481.5999999999995,At Risk
12518,,5,2056.8899999999994,At Risk
12519,,2,716.5400000000001,At Risk
12520,,5,2634.26,At Risk
12521,,1,599.6800000000001,At Risk
12522,,2,192.72000000000003,At Risk
12523,,23,4352.349999999998,Loyal
12524,,17,11126.109999999991,Loyal
12525,,3,973.7299999999998,At Risk
12526,,3,1316.6600000000005,At Risk
12527,,5,735.5100000000001,At Risk
12528,,6,1933.4800000000007,At Risk
12529,,1,316.47999999999996,At Risk
12530,,9,3759.2600000000007,At Risk
12531,,2,1933.1999999999998,At Risk
12532,,1,349.83,At Risk
12533,,2,1367.8899999999996,At Risk
12534,,1,1089.18,At Risk
12535,,2,716.3500000000001,At Risk
12536,,3,12601.830000000005,At Risk
12537,,1,732.9399999999998,At Risk
12538,,2,640.4499999999999,At Risk
12539,,7,11214.750000000007,At Risk
12540,,33,22254.49000000004,Loyal
12541,,3,981.1800000000002,At Risk
12542,,2,481.8799999999999,At Risk
12543,,1,980.2500000000002,At Risk
12544,,1,372.7,At Risk
12545,,2,1000.3899999999999,At Risk
12546,,2,1161.5,At Risk
12547,,3,383.5799999999999,At Risk
12548,,1,95.19999999999999,At Risk
12549,,6,1575.6799999999998,At Risk
12550,,1,964.8299999999994,At Risk
12551,,1,168.0,At Risk
12552,,2,437.81999999999994,At Risk
12553,,12,4608.750000000004,Loyal
12554,,1,468.49999999999994,At Risk
12555,,1,129.23,At Risk
12556,,2,599.5599999999997,At Risk
12557,,8,18096.14,At Risk
12558,,1,269.96000000000004,At Risk
12559,,2,561.7099999999999,At Risk
12560,,3,2134.01,At Risk
12561,,1,238.85,At Risk
12562,,9,4966.920000000003,At Risk
12563,,1,249.24000000000004,At Risk
12564,,1,456.90000000000003,At Risk
12565,,1,145.92,At Risk
12566,,1,351.65000000000003,At Risk
12567,,15,11767.48,Loyal
12568,,1,70.0,At Risk
12569,,32,4124.689999999999,Loyal
12570,,1,77.52,At Risk
12571,,2,519.6099999999999,At Risk
12572,,2,1020.4200000000003,At Risk
12573,,5,717.41,At Risk
12574,,1,218.45,At Risk
12575,,2,622.8199999999999,At Risk
12576,,8,2142.7200000000003,At Risk
12577,,8,1617.1000000000008,At Risk
12578,,4,4642.449999999999,At Risk
12579,,1,440.41999999999996,At Risk
12580,,2,1052.9,At Risk
12581,,1,197.70999999999998,At Risk
12582,,4,1980.4,At Risk
12583,,27,13591.580000000007,Loyal
12584,,9,2338.1499999999996,At Risk
12585,,2,2040.099999999999,At Risk
12586,,4,2062.670000000001,At Risk
12587,,1,144.0,At Risk
12588,,4,958.78,At Risk
12589,,8,4695.66,At Risk
12590,,2,9864.260000000004,At Risk
12591,,3,1338.9500000000005,At Risk
12592,,5,2582.6600000000003,At Risk
12593,,3,418.1,At Risk
12594,,15,5090.110000000005,Loyal
12595,,1,299.02000000000004,At Risk
12596,,2,618.27,At Risk
12597,,4,3811.2200000000016,At Risk
12598,,11,4534.089999999998,Loyal
12599,,13,2296.7199999999993,Loyal
12600,,21,4967.420000000003,Loyal
12601,,6,681.26,At Risk
12602,,1,153.12000000000003,At Risk
12603,,1,739.2,At Risk
12604,,2,254.17999999999992,At Risk
12605,,4,1232.9499999999996,At Risk
12606,,1,21.0,At Risk
12607,,1,1579.51,At Risk
12608,,1,415.78999999999996,At Risk
12609,,9,3435.859999999999,At Risk
12610,,5,2099.540000000001,At Risk
12611,,1,1193.32,At Risk
12612,,1,704.04,At Risk
12613,,10,6817.370000000007,Loyal
12614,,1,315.59999999999997,At Risk
12615,,8,5740.9800000000005,At Risk
12616,,3,1131.1,At Risk
12617,,1,352.9800000000002,At Risk
12618,,1,177.31,At Risk
12619,,10,3781.3800000000006,Loyal
12620,,3,1339.4099999999999,At Risk
12621,,35,24311.200000000008,Loyal
12622,,1,180.1,At Risk
12623,,7,3747.84,At Risk
12624,,2,641.1300000000001,At Risk
12625,,4,5164.879999999998,At Risk
12626,,9,6620.479999999998,At Risk
12627,,7,4478.53,At Risk
12628,,3,786.4599999999998,At Risk
12629,,2,1558.2199999999998,At Risk
12630,,2,1270.8799999999999,At Risk
12631,,6,3481.5699999999997,At Risk
12632,,2,804.8799999999999,At Risk
